Ï»¿MANUFACTURER,DEVICE,SECTION,PARAMETER_NAME,PARAMETER_DESCRIPTION,CC_MSB,CC_LSB,CC_MIN_VALUE,CC_MAX_VALUE,NRPN_MSB,NRPN_LSB,NRPN_MIN_VALUE,NRPN_MAX_VALUE,ORIENTATION,NOTES,USAGE
ACCESS,VIRUS A,GENERAL,MODULATION WHEEL,,1,,0,127,,,,,0-BASED,,
ACCESS,VIRUS A,GENERAL,PORTAMENTO TIME,,5,,0,127,,,,,0-BASED,,
ACCESS,VIRUS A,GENERAL,CHANNEL VOLUME,,7,,0,127,,,,,0-BASED,,
ACCESS,VIRUS A,GENERAL,PANORAMA,,10,,0,127,,,,,CENTERED,LEFT..CENTER..RIGHT,0~127: PAN DIRECTION
ACCESS,VIRUS A,OSCILLATORS,OSC1 SHAPE,,17,,0,127,,,,,CENTERED,WAVE..SAW..PULSE,0~127: SINE TO SAW TO PULSE
ACCESS,VIRUS A,OSCILLATORS,OSC1 PULSEWIDTH,,18,,0,127,,,,,0-BASED,,
ACCESS,VIRUS A,OSCILLATORS,OSC1 WAVE SELECT,,19,,0,64,,,,,0-BASED,,1: SINE; 2: TRIANGLE; 3-64: WAVE
ACCESS,VIRUS A,OSCILLATORS,OSC1 SEMITONE,,20,,0,127,,,,,CENTERED,,
ACCESS,VIRUS A,OSCILLATORS,OSC1 KEYFOLLOW,,21,,0,127,,,,,CENTERED,DEFAULT: 32,
ACCESS,VIRUS A,OSCILLATORS,OSC2 SHAPE,,22,,0,127,,,,,CENTERED,,0~127: SINE TO SAW TO PULSE
ACCESS,VIRUS A,OSCILLATORS,OSC2 PULSEWIDTH,,23,,0,127,,,,,0-BASED,,
ACCESS,VIRUS A,OSCILLATORS,OSC2 WAVE SELECT,,24,,0,64,,,,,0-BASED,,1: SINE; 2: TRIANGLE; 3-64: WAVE
ACCESS,VIRUS A,OSCILLATORS,OSC2 SEMITONE,,25,,0,127,,,,,CENTERED,,
ACCESS,VIRUS A,OSCILLATORS,OSC2 DETUNE,,26,,0,127,,,,,0-BASED,,
ACCESS,VIRUS A,OSCILLATORS,OSC2 FM AMOUNT,,27,,0,127,,,,,0-BASED,,
ACCESS,VIRUS A,OSCILLATORS,OSC2 SYNC,,28,,0,1,,,,,0-BASED,,0: OFF; 1: ON
ACCESS,VIRUS A,OSCILLATORS,OSC2 FILT ENV AMT,,29,,0,127,,,,,CENTERED,,
ACCESS,VIRUS A,GENERAL,FM FILT ENV AMT,,30,,0,127,,,,,CENTERED,,
ACCESS,VIRUS A,GENERAL,OSC2 KEYFOLLOW,,31,,0,127,,,,,CENTERED,DEFAULT: 32,
ACCESS,VIRUS A,GENERAL,BANK SELECT,,32,,0,1,,,,,0-BASED,,0: BANK A; 1: BANK B
ACCESS,VIRUS A,MIX,OSC BALANCE,,33,,0,127,,,,,CENTERED,,0~127: BALANCE BETWEEN OSC1 AND OSC2
ACCESS,VIRUS A,MIX,SUBOSCILLATOR VOLUME,,34,,0,127,,,,,0-BASED,,
ACCESS,VIRUS A,OSCILLATORS,SUBOSCILLATOR SHAPE,,35,,0,1,,,,,0-BASED,,0: SQUARE; 1: TRIANGLE
ACCESS,VIRUS A,MIX,OSC MAIN VOLUME,,36,,0,127,,,,,0-BASED,,
ACCESS,VIRUS A,MIX,NOISE VOLUME,,37,,0,127,,,,,0-BASED,,
ACCESS,VIRUS A,FILTER,CUTOFF,,40,,0,127,,,,,0-BASED,,
ACCESS,VIRUS A,FILTER,CUTOFF2,,41,,0,127,,,,,CENTERED,,
ACCESS,VIRUS A,FILTER,FILTER1 RESONANCE,,42,,0,127,,,,,0-BASED,,
ACCESS,VIRUS A,FILTER,FILTER2 RESONANCE,,43,,0,127,,,,,0-BASED,,
ACCESS,VIRUS A,FILTER,FILTER1 ENV AMT,,44,,0,127,,,,,0-BASED,,
ACCESS,VIRUS A,FILTER,FILTER2 ENV AMT,,45,,0,127,,,,,0-BASED,,
ACCESS,VIRUS A,FILTER,FILTER1 KEYFOLLOW,,46,,0,127,,,,,CENTERED,,
ACCESS,VIRUS A,FILTER,FILTER2 KEYFOLLOW,,47,,0,127,,,,,CENTERED,,
ACCESS,VIRUS A,FILTER,FILTER BALANCE,,48,,0,127,,,,,CENTERED,,
ACCESS,VIRUS A,GENERAL,SATURATION CURVE,,49,,0,6,,,,,0-BASED,,0: OFF; 1: LIGHT; 2: SOFT; 3: MIDDLE; 4: HARD; 5: DIGITAL; 6: SHAPER
ACCESS,VIRUS A,FILTER,FILTER1 MODE,,51,,0,3,,,,,0-BASED,,0: LP; 1: HP; 2: BP; 3: BS
ACCESS,VIRUS A,FILTER,FILTER2 MODE,,52,,0,3,,,,,0-BASED,,0: LP; 1: HP; 2: BP; 3: BS
ACCESS,VIRUS A,FILTER,FILTER ROUTING,,53,,0,3,,,,,0-BASED,,0: SER 4; 1: SER 6; 2: PAR 4; 3: SPLIT
ACCESS,VIRUS A,ENVELOPES,FILTER ENV ATTACK,,54,,0,127,,,,,0-BASED,,
ACCESS,VIRUS A,ENVELOPES,FILTER ENV DECAY,,55,,0,127,,,,,0-BASED,,
ACCESS,VIRUS A,ENVELOPES,FILTER ENV SUSTAIN,,56,,0,127,,,,,0-BASED,,
ACCESS,VIRUS A,ENVELOPES,FILTER ENV SUSTAIN TIME,,57,,0,127,,,,,CENTERED,FALL...INFINITE...RISE,0~127: FALL TO INFINITE TO RISE
ACCESS,VIRUS A,ENVELOPES,FILTER ENV RELEASE,,58,,0,127,,,,,0-BASED,,
ACCESS,VIRUS A,ENVELOPES,AMP ENV ATTACK,,59,,0,127,,,,,0-BASED,,
ACCESS,VIRUS A,ENVELOPES,AMP ENV DECAY,,60,,0,127,,,,,0-BASED,,
ACCESS,VIRUS A,ENVELOPES,AMP ENV SUSTAIN,,61,,0,127,,,,,0-BASED,,
ACCESS,VIRUS A,ENVELOPES,AMP ENV SUSTAIN TIME,,62,,0,127,,,,,CENTERED,FALL...INFINITE...RISE,0~127: FALL TO INFINITE TO RISE
ACCESS,VIRUS A,ENVELOPES,AMP ENV RELEASE,,63,,0,127,,,,,0-BASED,,
ACCESS,VIRUS A,GENERAL,HOLD PEDAL,,64,,0,127,,,,,0-BASED,,
ACCESS,VIRUS A,LFO,LFO1 RATE,,67,,0,127,,,,,0-BASED,,
ACCESS,VIRUS A,LFO,LFO1 SHAPE,,68,,0,5,,,,,0-BASED,,0: SINE; 1: TRI; 2: SAW; 3: SQUARE; 4: S&H; 5: S&G
ACCESS,VIRUS A,LFO,LFO1 ENV MODE,,69,,0,1,,,,,0-BASED,,0: OFF; 1: ON
ACCESS,VIRUS A,LFO,LFO1 MODE,,70,,0,1,,,,,0-BASED,,0: POLY; 1: MONO
ACCESS,VIRUS A,LFO,LFO1 SYMMETRY,,71,,0,127,,,,,CENTERED,,
ACCESS,VIRUS A,LFO,LFO1 KEYFOLLOW AMT,,72,,0,127,,,,,0-BASED,,
ACCESS,VIRUS A,LFO,OSC1 LFO1 AMOUNT,,74,,0,127,,,,,CENTERED,,
ACCESS,VIRUS A,LFO,OSC2 LFO1 AMOUNT,,75,,0,127,,,,,CENTERED,,
ACCESS,VIRUS A,LFO,PW LFO1 AMOUNT,,76,,0,127,,,,,CENTERED,,
ACCESS,VIRUS A,LFO,RESO LFO1 AMOUNT,,77,,0,127,,,,,CENTERED,,
ACCESS,VIRUS A,LFO,FILTGAIN LFO1 AMOUNT,,78,,0,127,,,,,CENTERED,,
ACCESS,VIRUS A,LFO,LFO2 RATE,,79,,0,127,,,,,0-BASED,,
ACCESS,VIRUS A,LFO,LFO2 SHAPE,,80,,0,5,,,,,0-BASED,,0: SINE; 1: TRI; 2: SAW; 3: SQUARE; 4: S&H; 5: S&G
ACCESS,VIRUS A,LFO,LFO2 ENV MODE,,81,,0,1,,,,,0-BASED,,0: OFF; 1: ON
ACCESS,VIRUS A,LFO,LFO2 MODE,,82,,0,1,,,,,0-BASED,,0: POLY; 1: MONO
ACCESS,VIRUS A,LFO,LFO2 SYMMETRY,,83,,0,127,,,,,CENTERED,,
ACCESS,VIRUS A,LFO,LFO2 KEYTRIGGER,,85,,0,127,,,,,0-BASED,,0: OFF; 1~127: KEYTRIGGER PHASE
ACCESS,VIRUS A,LFO,OSCSHAPE LFO2 AMOUNT,,86,,0,127,,,,,CENTERED,,
ACCESS,VIRUS A,LFO,FMAMOUNT LFO2 AMOUNT,,87,,0,127,,,,,CENTERED,,
ACCESS,VIRUS A,LFO,CUTOFF1 LFO2 AMOUNT,,88,,0,127,,,,,CENTERED,,
ACCESS,VIRUS A,LFO,CUTOFF2 LFO2 AMOUNT,,89,,0,127,,,,,CENTERED,,
ACCESS,VIRUS A,LFO,PANORAMA LFO2 AMOUNT,,90,,0,127,,,,,CENTERED,,
ACCESS,VIRUS A,GENERAL,PATCH VOLUME,,91,,0,127,,,,,0-BASED,,
ACCESS,VIRUS A,GENERAL,TRANSPOSE,,93,,0,127,,,,,CENTERED,,
ACCESS,VIRUS A,GENERAL,KEY MODE,,94,,0,4,,,,,0-BASED,,0: POLY; 1: MONO1; 2: MONO2; 3: MONO3; 4: MONO4
ACCESS,VIRUS A,GENERAL,TWIN MODE,,97,,0,1,,,,,0-BASED,,0: OFF; 1: ON
ACCESS,VIRUS A,GENERAL,TWIN DETUNE,,98,,0,127,,,,,0-BASED,,
ACCESS,VIRUS A,GENERAL,PANORAMA SPREAD,,99,,0,127,,,,,0-BASED,,
ACCESS,VIRUS A,LFO,TWIN LFO PHASE,,100,,0,127,,,,,CENTERED,,
ACCESS,VIRUS A,GENERAL,INPUT MODE,,101,,0,2,,,,,0-BASED,,0: OFF; 1: DYNAMIC; 2: STATIC
ACCESS,VIRUS A,GENERAL,INPUT SELECT,,102,,0,8,,,,,0-BASED,,0: IN1L; 1: IN1L+R; 2: IN1R; 3: AUX1L; 4: AUX1L+R; 5: AUX1R; 6: AUX2L; 7: AUX2L+R; 8: AUX2R
ACCESS,VIRUS A,FX,CHORUS MIX,,105,,0,127,,,,,CENTERED,,
ACCESS,VIRUS A,FX,CHORUS RATE,,106,,0,127,,,,,0-BASED,,
ACCESS,VIRUS A,FX,CHORUS DEPTH,,107,,0,127,,,,,0-BASED,,
ACCESS,VIRUS A,FX,CHORUS DELAY,,108,,0,127,,,,,0-BASED,,
ACCESS,VIRUS A,FX,CHORUS FEEDBACK,,109,,0,127,,,,,0-BASED,,
ACCESS,VIRUS A,FX,CHORUS LFO SHAPE,,110,,0,5,,,,,0-BASED,,0: SINE; 1: TRI; 2: SAW; 3: SQUARE; 4: S&H; 5: S&G
ACCESS,VIRUS A,FX,EFFECT SEND,,113,,0,127,,,,,0-BASED,,
ACCESS,VIRUS A,FX,DELAY TIME,,114,,0,127,,,,,0-BASED,,
ACCESS,VIRUS A,FX,DELAY FEEDBACK,,115,,0,127,,,,,0-BASED,,
ACCESS,VIRUS A,FX,DELAY RATE,,116,,0,127,,,,,0-BASED,,
ACCESS,VIRUS A,FX,DELAY DEPTH,,117,,0,127,,,,,0-BASED,,
ACCESS,VIRUS A,FX,DELAY LFO SHAPE,,118,,0,5,,,,,0-BASED,,0: SINE; 1: TRI; 2: SAW; 3: SQUARE; 4: S&H; 5: S&G
ACCESS,VIRUS A,GENERAL,ALL NOTES OFF,,123,,0,0,,,,,0-BASED,,
MANUFACTURER,DEVICE,SECTION,PARAMETER_NAME,PARAMETER_DESCRIPTION,CC_MSB,CC_LSB,CC_MIN_VALUE,CC_MAX_VALUE,NRPN_MSB,NRPN_LSB,NRPN_MIN_VALUE,NRPN_MAX_VALUE,ORIENTATION,NOTES,USAGE
ARTURIA,MICROFREAK,GENERAL,GLIDE,,5,,0,127,,,,,0-BASED,,
ARTURIA,MICROFREAK,OSCILLATOR,TYPE,,9,,0,127,,,,,0-BASED,,
ARTURIA,MICROFREAK,OSCILLATOR,WAVE,,10,,0,127,,,,,0-BASED,,
ARTURIA,MICROFREAK,OSCILLATOR,TIMBRE,,12,,0,127,,,,,0-BASED,,
ARTURIA,MICROFREAK,OSCILLATOR,SHAPE,,13,,0,127,,,,,0-BASED,,
ARTURIA,MICROFREAK,FILTER,CUTOFF,,23,,0,127,,,,,0-BASED,,
ARTURIA,MICROFREAK,FILTER,RESONANCE,,83,,0,127,,,,,0-BASED,,
ARTURIA,MICROFREAK,CYCLING ENVELOPE,CYCLING ENV RISE,,102,,0,127,,,,,0-BASED,,
ARTURIA,MICROFREAK,CYCLING ENVELOPE,CYCLING ENV FALL,,103,,0,127,,,,,0-BASED,,
ARTURIA,MICROFREAK,CYCLING ENVELOPE,CYCLING ENV HOLD,,28,,0,127,,,,,0-BASED,,
ARTURIA,MICROFREAK,CYCLING ENVELOPE,CYCLING ENV AMOUNT,,24,,0,127,,,,,0-BASED,,
ARTURIA,MICROFREAK,ARPEGGIATOR/SEQUENCER,ARP/SEQ RATE (FREE),,91,,0,127,,,,,0-BASED,,
ARTURIA,MICROFREAK,ARPEGGIATOR/SEQUENCER,ARP/SEQ RATE (SYNC),,92,,0,127,,,,,0-BASED,,
ARTURIA,MICROFREAK,LFO,LFO RATE (FREE),,93,,0,127,,,,,0-BASED,,
ARTURIA,MICROFREAK,LFO,LFO RATE (SYNC),,94,,0,127,,,,,0-BASED,,
ARTURIA,MICROFREAK,ENVELOPE,ENVELOPE ATTACK,,105,,0,127,,,,,0-BASED,,
ARTURIA,MICROFREAK,ENVELOPE,ENVELOPE DECAY,,106,,0,127,,,,,0-BASED,,
ARTURIA,MICROFREAK,ENVELOPE,ENVELOPE SUSTAIN,,29,,0,127,,,,,0-BASED,,
ARTURIA,MICROFREAK,KEYBOARD,KEYBOARD HOLD BUTTON (TOGGLE),,64,,0,127,,,,,0-BASED,,
ARTURIA,MICROFREAK,KEYBOARD,KEYBOARD SPICE,,2,,0,127,,,,,0-BASED,,
MANUFACTURER,DEVICE,SECTION,PARAMETER_NAME,PARAMETER_DESCRIPTION,CC_MSB,CC_LSB,CC_MIN_VALUE,CC_MAX_VALUE,NRPN_MSB,NRPN_LSB,NRPN_MIN_VALUE,NRPN_MAX_VALUE,ORIENTATION,NOTES,USAGE
BEHRINGER,NEUTRON,GENERAL,MODULATION WHEEL,,1,21,0,127,,,,,0-BASED,,
BEHRINGER,NEUTRON,GENERAL,DAMPER PEDAL ON/OFF,,40,,0,127,,,,,0-BASED,,
MANUFACTURER,DEVICE,SECTION,PARAMETER_NAME,PARAMETER_DESCRIPTION,CC_MSB,CC_LSB,CC_MIN_VALUE,CC_MAX_VALUE,NRPN_MSB,NRPN_LSB,NRPN_MIN_VALUE,NRPN_MAX_VALUE,ORIENTATION,NOTES,USAGE
BEHRINGER,TD-3-MO,VCF,CUTOFF,,74,,0,127,,,,,0-BASED,,0~127: FILTER CUTOFF
BEHRINGER,TD-3-MO,GENERAL,ACCENT,,120,,0,127,,,,,0-BASED,PARAMETER CHANGE TRIGGERS ACCENT.,0-127: TRIGGER ACCENT
Ï»¿MANUFACTURER,DEVICE,SECTION,PARAMETER_NAME,PARAMETER_DESCRIPTION,CC_MSB,CC_LSB,CC_MIN_VALUE,CC_MAX_VALUE,NRPN_MSB,NRPN_LSB,NRPN_MIN_VALUE,NRPN_MAX_VALUE,ORIENTATION,NOTES,USAGE
BLACK CORPORATION,DECKARD'S DREAM MK2,GENERAL,BANK SELECTION,,0,,0,2,,,,,0-BASED,,0: BANK 1; 1: BANK 2; 2: BANK 3
BLACK CORPORATION,DECKARD'S DREAM MK2,GENERAL,MODULATION WHEEL,,1,,0,127,,,,,0-BASED,,
BLACK CORPORATION,DECKARD'S DREAM MK2,LAYER I OSCILLATOR,PULSE WIDTH MODULATION SPEED I,,40,,0,127,,,,,0-BASED,,
BLACK CORPORATION,DECKARD'S DREAM MK2,LAYER I OSCILLATOR,PULSE WIDTH MODULATION AMOUNT I,,41,,0,127,,,,,0-BASED,,
BLACK CORPORATION,DECKARD'S DREAM MK2,LAYER I OSCILLATOR,PULSE WIDTH I,,42,,0,127,,,,,0-BASED,,
BLACK CORPORATION,DECKARD'S DREAM MK2,LAYER I OSCILLATOR,SQUARE I,,43,,0,127,,,,,0-BASED,,0-63: OFF; 64-127: ON
BLACK CORPORATION,DECKARD'S DREAM MK2,LAYER I OSCILLATOR,SAW I,,44,,0,127,,,,,0-BASED,,0-63: OFF; 64-127: ON
BLACK CORPORATION,DECKARD'S DREAM MK2,LAYER I OSCILLATOR,NOISE LEVEL I,,45,,0,127,,,,,0-BASED,,
BLACK CORPORATION,DECKARD'S DREAM MK2,LAYER I FILTER,HIGH PASS FILTER BRILLIANCE I,,46,,0,127,,,,,0-BASED,,
BLACK CORPORATION,DECKARD'S DREAM MK2,LAYER I FILTER,HIGH PASS FILTER RESONANCE I,,47,,0,127,,,,,0-BASED,,
BLACK CORPORATION,DECKARD'S DREAM MK2,LAYER I FILTER,LOW PASS FILTER BRILLIANCE I,,48,,0,127,,,,,0-BASED,,
BLACK CORPORATION,DECKARD'S DREAM MK2,LAYER I FILTER,LOW PASS FILTER RESONANCE I,,49,,0,127,,,,,0-BASED,,
BLACK CORPORATION,DECKARD'S DREAM MK2,LAYER I FILTER,FILTER EG INITIAL LEVEL I,,50,,0,127,,,,,0-BASED,,
BLACK CORPORATION,DECKARD'S DREAM MK2,LAYER I FILTER,FILTER EG AFTER LEVEL I,,51,,0,127,,,,,0-BASED,,
BLACK CORPORATION,DECKARD'S DREAM MK2,LAYER I FILTER,FILTER ATTACK I,,52,,0,127,,,,,0-BASED,,
BLACK CORPORATION,DECKARD'S DREAM MK2,LAYER I FILTER,FILTER DECAY I,,53,,0,127,,,,,0-BASED,,
BLACK CORPORATION,DECKARD'S DREAM MK2,LAYER I FILTER,FILTER RELEASE I,,54,,0,127,,,,,0-BASED,,
BLACK CORPORATION,DECKARD'S DREAM MK2,LAYER I VCA,VCF LEVEL I,,55,,0,127,,,,,0-BASED,,
BLACK CORPORATION,DECKARD'S DREAM MK2,LAYER I VCA,SINE LEVEL I,,56,,0,127,,,,,0-BASED,,
BLACK CORPORATION,DECKARD'S DREAM MK2,LAYER I VCA,VCA ITTACK I,,57,,0,127,,,,,0-BASED,,
BLACK CORPORATION,DECKARD'S DREAM MK2,LAYER I VCA,VCA DECAY I,,58,,0,127,,,,,0-BASED,,
BLACK CORPORATION,DECKARD'S DREAM MK2,LAYER I VCA,VCA SUSTAIN I,,59,,0,127,,,,,0-BASED,,
BLACK CORPORATION,DECKARD'S DREAM MK2,LAYER I VCA,VCA RELEASE I,,60,,0,127,,,,,0-BASED,,
BLACK CORPORATION,DECKARD'S DREAM MK2,LAYER I VCA,VCA LEVEL I,,61,,0,127,,,,,0-BASED,,
BLACK CORPORATION,DECKARD'S DREAM MK2,LAYER I FILTER,INITIAL BRILLIANCE I,,62,,0,127,,,,,0-BASED,,
BLACK CORPORATION,DECKARD'S DREAM MK2,LAYER I VCA,INITIAL LEVEL I,,63,,0,127,,,,,0-BASED,,
BLACK CORPORATION,DECKARD'S DREAM MK2,LAYER I FILTER,AFTERTOUCH BRILLIANCE I,,65,,0,127,,,,,0-BASED,,
BLACK CORPORATION,DECKARD'S DREAM MK2,LAYER I VCA,AFTERTOUCH LEVEL I,,66,,0,127,,,,,0-BASED,,
BLACK CORPORATION,DECKARD'S DREAM MK2,LAYER II OSCILLATOR,PULSE WIDTH MODULATION SPEED II,,67,,0,127,,,,,0-BASED,,
BLACK CORPORATION,DECKARD'S DREAM MK2,LAYER II OSCILLATOR,PULSE WIDTH MODULATION AMOUNT II,,68,,0,127,,,,,0-BASED,,
BLACK CORPORATION,DECKARD'S DREAM MK2,LAYER II OSCILLATOR,PULSE WIDTH II,,69,,0,127,,,,,0-BASED,,
BLACK CORPORATION,DECKARD'S DREAM MK2,LAYER II OSCILLATOR,SQUARE II,,70,,0,127,,,,,0-BASED,,0-63: OFF; 64-127: ON
BLACK CORPORATION,DECKARD'S DREAM MK2,LAYER II OSCILLATOR,SAW II,,71,,0,127,,,,,0-BASED,,0-63: OFF; 64-127: ON
BLACK CORPORATION,DECKARD'S DREAM MK2,LAYER II OSCILLATOR,NOISE LEVEL II,,72,,0,127,,,,,0-BASED,,
